"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"CT3151SP-2","Cal Test Electronics","BKCT3151SP-2-ND","CN2","1","SAFETY JACK, HORZ PCB MT., SPCT("
"CT3151SP-0","Cal Test Electronics","BKCT3151SP-0-ND","CN1","1","SAFETY JACK HORZ PCB MT. SPCT.30"
"BAT-HLD-001","Linx Technologies Inc.","BAT-HLD-001-ND","BATT1","1","HOLDER BATTERY 20MM COIN"
"PKMCS0909E4000-R1","Murata Electronics North America","490-9647-1-ND","PZ1","1","AUDIO PIEZO TRANSDUCER 12.5V SMD"
"ST4ETA102","Nidec Copal Electronics","ST4ETA102CT-ND","TR1","1","TRIMMER 1K OHM 0.25W SMD"
"LTST-020QRL","Lite-On Inc.","160-1871-1-ND","4","4","LED RED CLEAR 2SMD R/A"
"C0603C104K4RACTU","KEMET","399-1096-1-ND","C1-C3,C6-C7","5","CAP CER 0.1UF 16V X7R 0603"
"CL10B224KO8NNNC","Samsung Electro-Mechanics","1276-1112-1-ND","C4","1","CAP CER 0.22UF 16V X7R 0603"
"RC0603FR-0747KL","Yageo","311-47.0KHRCT-ND","R6","1","RES SMD 47K OHM 1% 1/10W 0603"
"RC0603FR-071ML","Yageo","311-1.00MHRCT-ND","R1","1","RES SMD 1M OHM 1% 1/10W 0603"
"RC0603FR-07470RL","Yageo","311-470HRCT-ND","R2,R7-R10","5","RES SMD 470 OHM 1% 1/10W 0603"
"8194","Radial Magnet Inc.","469-1061-ND","MAG1-MAG3","3","MAGNET ROUND NDFEB AXIAL"
"EG2308","E-Switch","EG1911-ND","SW1","1","SWITCH SLIDE DP3T 100MA 12V"
"MCP6541T-I/OT","Microchip Technology","MCP6541T-I/OTCT-ND","U1","1","IC COMP PUSHPLL 1.6V SGL SOT23-5"
"ICM7555IBAZ","Intersil","ICM7555IBAZ-ND","U2-U3","2","IC OSC SINGLE TIMER 1MHZ 8-SOIC"
"RC0603JR-07220KL","Yageo","311-220KGRCT-ND","R11","1","RES SMD 220K OHM 5% 1/10W 0603"
"C0603C105K4RACTU","KEMET","399-7847-1-ND","C5","1","CAP CER 1UF 16V X7R 0603"
"RC0603JR-0722KL","Yageo","311-22KGRCT-ND","R3","1","RES SMD 22K OHM 5% 1/10W 0603"
"RC0603FR-07220RL","Yageo","311-220HRCT-ND","R4,R5","2","RES SMD 220 OHM 1% 1/10W 0603"
"PLZ2V0A-G3/H","Vishay Semiconductor Diodes Division","PLZ2V0A-G3/HGICT-ND","D1","1","DIODE ZENER 1.99V 960MW DO219AC"
